Year,Appendix,Taxon,Class,Order,Family,Genus,Importer,Exporter,Importer reported quantity,Exporter reported quantity,Term,Unit,Purpose,Source
2020,I,Acipenser brevirostrum,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,I-SG,E-CA,0.8,,caviar,kg,P,D
2020,I,Acipenser sturio,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,I-DE,E-CH,1,,skins,,Q,I
2020,I,Acipenser sturio,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,I-GB,E-JP,1,,skins,Number of specimens,Q,O
2020,I,Acipenser sturio,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,I-GB,E-JP,,1,bodies,Number of specimens,Q,O
2020,I,Acrantophis dumerili,Reptilia,Serpentes,Boidae,Acrantophis,I-ZA,E-DK,2,,specimens,,S,W
2020,I,Acrantophis dumerili,Reptilia,Serpentes,Boidae,Acrantophis,I-JE,E-GB,2,2,live,Number of specimens,Z,F
2020,I,Addax nasomaculatus,Mammalia,Artiodactyla,Bovidae,Addax,I-AE,E-MA,34,,live,Number of specimens,B,F
2020,I,Addax nasomaculatus,Mammalia,Artiodactyla,Bovidae,Addax,I-ES,E-US,1,,trophies,,H,C
2020,I,Addax nasomaculatus,Mammalia,Artiodactyla,Bovidae,Addax,I-AE,E-MA,,40,live,,N,C
2020,I,Addax nasomaculatus,Mammalia,Artiodactyla,Bovidae,Addax,I-TD,E-AE,,25,live,Number of specimens,N,F
2020,I,Addax nasomaculatus,Mammalia,Artiodactyla,Bovidae,Addax,I-KW,E-AE,,2,live,Number of specimens,P,C
2020,I,Addax nasomaculatus,Mammalia,Artiodactyla,Bovidae,Addax,I-GB,E-AE,,375,specimens,ml,S,F
2020,I,Addax nasomaculatus,Mammalia,Artiodactyla,Bovidae,Addax,I-GB,E-TN,28,,specimens,Number of specimens,S,F
2020,I,Addax nasomaculatus,Mammalia,Artiodactyla,Bovidae,Addax,I-GB,E-TN,,28,specimens,,S,F
2020,I,Addax nasomaculatus,Mammalia,Artiodactyla,Bovidae,Addax,I-PK,E-AE,4,,live,,T,C
2020,I,Ailurus fulgens,Mammalia,Carnivora,Ailuridae,Ailurus,I-DE,E-IN,2,,live,,B,C
2020,I,Ailurus fulgens,Mammalia,Carnivora,Ailuridae,Ailurus,I-ZA,E-DK,3,,specimens,,L,I
2020,I,Ailurus fulgens,Mammalia,Carnivora,Ailuridae,Ailurus,I-AU,E-NZ,,1,live,Number of specimens,Z,C
2020,I,Ailurus fulgens,Mammalia,Carnivora,Ailuridae,Ailurus,I-CL,E-JP,,2,live,Number of specimens,Z,C
2020,I,Ailurus fulgens,Mammalia,Carnivora,Ailuridae,Ailurus,I-CL,E-JP,2,,live,,Z,C
2020,I,Ailurus fulgens,Mammalia,Carnivora,Ailuridae,Ailurus,I-KR,E-JP,1,1,live,Number of specimens,Z,C
2020,I,Ailurus fulgens,Mammalia,Carnivora,Ailuridae,Ailurus,I-US,E-CA,,1,live,Number of specimens,Z,C
2020,I,Alouatta palliata,Mammalia,Primates,Atelidae,Alouatta,I-CA,E-CR,0.5,1,specimens,g,S,W
2020,I,Asarcornis scutulata,Aves,Anseriformes,Anatidae,Asarcornis,I-IN,E-CZ,4,,live,Number of specimens,Z,C
2020,I,Ateles geoffroyi,Mammalia,Primates,Atelidae,Ateles,I-CA,E-CR,,1,specimens,g,S,W
2020,I,Ateles geoffroyi frontatus,Mammalia,Primates,Atelidae,Ateles,I-CA,E-CR,0.5,,specimens,g,S,W
2020,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,I-BE,E-CA,3,,bone carvings,kg,P,O
2020,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,I-DE,E-CA,1,,carvings,,P,O
