Year,Appendix,Taxon,Class,Order,Family,Genus,Exporter,Exporter reported quantity,Term,Unit,Purpose,Source
2020,II,Abronia graminea,Reptilia,Sauria,Anguidae,Abronia,GB,3.24,hair,kg,T,W
2020,II,Abronia graminea,Reptilia,Sauria,Anguidae,Abronia,DE,3.245,cosmetics,g,T,C
2020,II,Abronia lythrochila,Reptilia,Sauria,Anguidae,Abronia,DE,3.248,caviar,kg,T,C
2020,II,Acanthastrea amakusensis,Anthozoa,Scleractinia,Mussidae,Acanthastrea,AT,128.5,cosmetics,g,T,C
2020,II,Acanthastrea amakusensis,Anthozoa,Scleractinia,Mussidae,Acanthastrea,BY,128.7,caviar,kg,T,C
2020,II,Acanthastrea amakusensis,Anthozoa,Scleractinia,Mussidae,Acanthastrea,KR,129,skins,Number of specimens,T,D
2020,II,Acanthastrea amakusensis,Anthozoa,Scleractinia,Mussidae,Acanthastrea,SG,129,live,Number of specimens,T,D
2020,II,Acanthastrea bowerbanki,Anthozoa,Scleractinia,Mussidae,Acanthastrea,FR,130,specimens,ml,M,F
2020,II,Acanthastrea bowerbanki,Anthozoa,Scleractinia,Mussidae,Acanthastrea,NA,130,live,Number of specimens,N,W
2020,II,Acanthastrea bowerbanki,Anthozoa,Scleractinia,Mussidae,Acanthastrea,FI,129,specimens,,S,W
2020,II,Acanthastrea bowerbanki,Anthozoa,Scleractinia,Mussidae,Acanthastrea,FR,129,leather products (large),Number of specimens,T,W
2020,II,Acanthastrea bowerbanki,Anthozoa,Scleractinia,Mussidae,Acanthastrea,FR,129,skins,Number of specimens,T,W
2020,II,Acanthastrea bowerbanki,Anthozoa,Scleractinia,Mussidae,Acanthastrea,DE,129,live,,T,C
2020,II,Acanthastrea bowerbanki,Anthozoa,Scleractinia,Mussidae,Acanthastrea,ID,129,live,,T,F
2020,II,Acanthastrea bowerbanki,Anthozoa,Scleractinia,Mussidae,Acanthastrea,ID,129,live,,T,W
2020,II,Acanthastrea bowerbanki,Anthozoa,Scleractinia,Mussidae,Acanthastrea,ID,129,live,,T,C
2020,II,Acanthastrea bowerbanki,Anthozoa,Scleractinia,Mussidae,Acanthastrea,DE,129.343,caviar,kg,T,C
2020,II,Acanthastrea bowerbanki,Anthozoa,Scleractinia,Mussidae,Acanthastrea,DE,129.626,caviar,kg,T,C
2020,II,Acanthastrea bowerbanki,Anthozoa,Scleractinia,Mussidae,Acanthastrea,TH,130,leather products (small),Number of specimens,T,D
2020,II,Acanthastrea bowerbanki,Anthozoa,Scleractinia,Mussidae,Acanthastrea,KR,130,caviar,Number of specimens,T,C
2020,II,Acanthastrea bowerbanki,Anthozoa,Scleractinia,Mussidae,Acanthastrea,ID,130,live,,T,F
2020,II,Acanthastrea bowerbanki,Anthozoa,Scleractinia,Mussidae,Acanthastrea,TN,130,meat,kg,T,W
2020,II,Acanthastrea bowerbanki,Anthozoa,Scleractinia,Mussidae,Acanthastrea,ID,130,live,,T,F
2020,II,Acanthastrea bowerbanki,Anthozoa,Scleractinia,Mussidae,Acanthastrea,IT,130,leather products (small),,T,R
2020,II,Acanthastrea bowerbanki,Anthozoa,Scleractinia,Mussidae,Acanthastrea,BE,130,live,Number of specimens,T,C
2020,II,Acanthastrea bowerbanki,Anthozoa,Scleractinia,Mussidae,Acanthastrea,ZA,130,live,,T,C
2020,II,Acanthastrea bowerbanki,Anthozoa,Scleractinia,Mussidae,Acanthastrea,ID,130,live,,T,F
2020,II,Acanthastrea bowerbanki,Anthozoa,Scleractinia,Mussidae,Acanthastrea,ZA,130,live,,T,C
2020,II,Acanthastrea bowerbanki,Anthozoa,Scleractinia,Mussidae,Acanthastrea,ZA,130,live,,T,C
2020,II,Acanthastrea bowerbanki,Anthozoa,Scleractinia,Mussidae,Acanthastrea,ZA,130,live,,T,C
2020,II,Acanthastrea bowerbanki,Anthozoa,Scleractinia,Mussidae,Acanthastrea,IT,130,skins,,T,W
2020,II,Acanthastrea echinata,Anthozoa,Scleractinia,Mussidae,Acanthastrea,CU,131,specimens,,S,W
2020,II,Acanthastrea echinata,Anthozoa,Scleractinia,Mussidae,Acanthastrea,HU,130,live,,T,C
2020,II,Acanthastrea echinata,Anthozoa,Scleractinia,Mussidae,Acanthastrea,VN,130,raw corals,Number of specimens,T,W
