Year,Appendix,Taxon,Class,Order,Family,Genus,Importer,Importer reported quantity,Term,Unit,Purpose,Source
2020,II,Accipiter gentilis,Aves,Falconiformes,Accipitridae,Accipiter,AE,1,live,Number of specimens,P,C
2020,II,Accipiter gentilis,Aves,Falconiformes,Accipitridae,Accipiter,AE,1,live,Number of specimens,P,C
2020,II,Accipiter gentilis,Aves,Falconiformes,Accipitridae,Accipiter,AE,2,live,Number of specimens,P,C
2020,II,Accipiter melanoleucus,Aves,Falconiformes,Accipitridae,Accipiter,JP,1,live,Number of specimens,T,C
2020,II,Accipiter nanus,Aves,Falconiformes,Accipitridae,Accipiter,JP,1,live,Number of specimens,T,C
2020,II,Accipiter gentilis,Aves,Falconiformes,Accipitridae,Accipiter,JP,2,live,Number of specimens,T,C
2020,II,Accipiter gentilis,Aves,Falconiformes,Accipitridae,Accipiter,KH,2,live,,T,C
2020,II,Accipiter nisus,Aves,Falconiformes,Accipitridae,Accipiter,JP,2,live,Number of specimens,T,C
2020,II,Accipiter gentilis,Aves,Falconiformes,Accipitridae,Accipiter,KH,3,live,,T,C
2020,II,Accipiter tachiro,Aves,Falconiformes,Accipitridae,Accipiter,JP,3,live,Number of specimens,T,C
2020,II,Accipiter hybrid,Aves,Falconiformes,Accipitridae,Accipiter,TH,4,live,,T,C
2020,II,Accipiter gentilis,Aves,Falconiformes,Accipitridae,Accipiter,JP,5,live,Number of specimens,T,C
2020,II,Accipiter gentilis,Aves,Falconiformes,Accipitridae,Accipiter,JP,6,live,Number of specimens,T,C
2020,II,Accipiter gentilis,Aves,Falconiformes,Accipitridae,Accipiter,JP,11,live,Number of specimens,T,C
2020,II,Aquila chrysaetos,Aves,Falconiformes,Accipitridae,Aquila,NL,2,feathers,,E,O
2020,II,Aquila chrysaetos,Aves,Falconiformes,Accipitridae,Aquila,NO,1,bodies,Number of specimens,P,W
2020,II,Aquila chrysaetos,Aves,Falconiformes,Accipitridae,Aquila,NZ,1,bodies,Number of specimens,P,W
2020,II,Aquila chrysaetos,Aves,Falconiformes,Accipitridae,Aquila,QA,1,live,Number of specimens,P,C
2020,II,Aquila chrysaetos,Aves,Falconiformes,Accipitridae,Aquila,NZ,3,feathers,Number of specimens,P,W
2020,II,Aquila chrysaetos,Aves,Falconiformes,Accipitridae,Aquila,AT,30,feathers,,S,W
2020,II,Aquila chrysaetos,Aves,Falconiformes,Accipitridae,Aquila,JP,1,live,Number of specimens,T,C
2020,II,Aquila rapax,Aves,Falconiformes,Accipitridae,Aquila,JP,1,live,Number of specimens,T,C
2020,II,Aquila rapax,Aves,Falconiformes,Accipitridae,Aquila,JP,2,live,Number of specimens,T,C
2020,II,Aquila rapax,Aves,Falconiformes,Accipitridae,Aquila,JP,2,live,Number of specimens,T,C
2020,II,Aquila chrysaetos,Aves,Falconiformes,Accipitridae,Aquila,JP,20,feathers,kg,T,W
